"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XKVPQBML","journalArticle","2017","Fortini, Lucas B.; Kaiser, Lauren R.; Vorsino, Adam E.; Paxton, Eben H.; Jacobi, James D.","Assessing the potential of translocating vulnerable forest birds by searching for novel and enduring climatic ranges","Ecology and Evolution","","20457758","10.1002/ece3.3451","http://doi.wiley.com/10.1002/ece3.3451","","2017-11","2020-08-14 17:20:47","2020-08-14 17:20:47","2020-08-14 17:20:47","9119-9130","","21","7","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 no genetics</p>","C:\Users\trase\Zotero\storage\5TUKX89G\Fortini et al. - 2017 - Assessing the potential of translocating vulnerabl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNL52FZ6","journalArticle","2011","Burke, Ryan J.; Fitzsimmons, Jay M.; Kerr, Jeremy T.","A mobility index for Canadian butterfly species based on naturalists’ knowledge","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-011-0088-y","http://link.springer.com/10.1007/s10531-011-0088-y","","2011-09","2020-08-14 17:23:12","2020-08-18 03:38:39","2020-08-14 17:23:12","2273-2295","","10","20","","Biodivers Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 not relevant</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QFTIAJE","journalArticle","2020","Pascual-Rico, Roberto; Sánchez-Zapata, José Antonio; Navarro, Joan; Eguía, Sergio; Anadón, José Daniel; Botella, Francisco","Ecological niche overlap between co-occurring native and exotic ungulates: insights for a conservation conflict","Biological Invasions","","1387-3547, 1573-1464","10.1007/s10530-020-02265-x","http://link.springer.com/10.1007/s10530-020-02265-x","","2020-08","2020-08-14 17:23:09","2020-08-14 17:23:09","2020-08-14 17:23:09","2497-2508","","8","22","","Biol Invasions","Ecological niche overlap between co-occurring native and exotic ungulates","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - translocation discussion only TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STRZM4GH","journalArticle","2007","Jones, Menna E.; Jarman, Peter J.; Lees, Caroline M.; Hesterman, Heather; Hamede, Rodrigo K.; Mooney, Nick J.; Mann, Dydee; Pukk, Chrissy E.; Bergfeld, Jemma; McCallum, Hamish","Conservation Management of Tasmanian Devils in the Context of an Emerging, Extinction-threatening Disease: Devil Facial Tumor Disease","EcoHealth","","1612-9202, 1612-9210","10.1007/s10393-007-0120-6","http://link.springer.com/10.1007/s10393-007-0120-6","","2007-10-03","2020-08-14 17:23:05","2020-08-18 03:38:40","2020-08-14 17:23:05","326-337","","3","4","","EcoHealth","Conservation Management of Tasmanian Devils in the Context of an Emerging, Extinction-threatening Disease","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 considering AM for disease management but not climate change</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7G3I5HT5","journalArticle","2016","Tainio, Anna; Heikkinen, Risto K.; Heliölä, Janne; Hunt, Alistair; Watkiss, Paul; Fronzek, Stefan; Leikola, Niko; Lötjönen, Sanna; Mashkina, Olga; Carter, Timothy R.","Conservation of grassland butterflies in Finland under a changing climate","Regional Environmental Change","","1436-3798, 1436-378X","10.1007/s10113-014-0684-y","http://link.springer.com/10.1007/s10113-014-0684-y","","2016-01","2020-08-14 17:22:29","2020-08-14 17:22:29","2020-08-14 17:22:29","71-84","","1","16","","Reg Environ Change","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - ""adaption"" in the papers refers to management strategy TS</p> <p> </p>","C:\Users\trase\Zotero\storage\TYEKVW5J\Tainio et al. - 2016 - Conservation of grassland butterflies in Finland u.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCPA6AE3","journalArticle","2019","Daly, Jacob A.; Buhlmann, Kurt A.; Todd, Brian D.; Moore, Clinton T.; Peaden, J. Mark; Tuberville, Tracey D.","Survival and movements of head‐started Mojave desert tortoises","The Journal of Wildlife Management","","0022-541X, 1937-2817","10.1002/jwmg.21758","https://onlinelibrary.wiley.com/doi/abs/10.1002/jwmg.21758","","2019-11","2020-08-14 17:21:47","2020-08-18 03:38:39","2020-08-14 17:21:47","1700-1710","","8","83","","Jour. Wild. Mgmt.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 no genetics</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGGZIR6I","journalArticle","2015","Michaelides, Sozos; Cole, Nik; Funk, Stephan M.","Translocation retains genetic diversity of a threatened endemic reptile in Mauritius","Conservation Genetics","","1566-0621, 1572-9737","10.1007/s10592-014-0691-z","http://link.springer.com/10.1007/s10592-014-0691-z","","2015-06","2020-08-14 17:23:46","2020-08-14 17:23:46","2020-08-14 17:23:46","661-672","","3","16","","Conserv Genet","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - translocation with genetics, but not CC focused TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUXGZXCV","journalArticle","2013","Woolaver, Lance G.; Nichols, Rina K.; Morton, Eugene S.; Stutchbury, Bridget J. M.","Population genetics and relatedness in a critically endangered island raptor, Ridgway’s Hawk Buteo ridgwayi","Conservation Genetics","","1566-0621, 1572-9737","10.1007/s10592-013-0444-4","http://link.springer.com/10.1007/s10592-013-0444-4","","2013-06","2020-08-14 17:23:41","2020-08-14 17:23:41","2020-08-14 17:23:41","559-571","","3","14","","Conserv Genet","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - give rec. in discussion plan from microsat work, no climate change link TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKQKLA5E","journalArticle","2011","Wilson, Robert J.; Maclean, Ilya M. D.","Recent evidence for the climate change threat to Lepidoptera and other insects","Journal of Insect Conservation","","1366-638X, 1572-9753","10.1007/s10841-010-9342-y","http://link.springer.com/10.1007/s10841-010-9342-y","","2011-04","2020-08-14 17:24:15","2020-08-14 17:24:15","2020-08-14 17:24:15","259-268","","1-2","15","","J Insect Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 - TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PG74AUNG","journalArticle","2019","Mathur, Samarth; Tomeček, John M.; Heniff, Ashlyn; Luna, Ryan; DeWoody, J. Andrew","Evidence of genetic erosion in a peripheral population of a North American game bird: the Montezuma quail (Cyrtonyx montezumae)","Conservation Genetics","","1566-0621, 1572-9737","10.1007/s10592-019-01218-9","http://link.springer.com/10.1007/s10592-019-01218-9","","2019-12","2020-08-14 17:23:59","2020-08-14 17:23:59","2020-08-14 17:23:59","1369-1381","","6","20","","Conserv Genet","Evidence of genetic erosion in a peripheral population of a North American game bird","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 - genomics but no real climate change discussion, rec against translocation TS</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
