"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S62HW2ZP","journalArticle","2019","Quigley, Kate M.; Bay, Line K.; Oppen, Madeleine J. H.","The active spread of adaptive variation for reef resilience","Ecology and Evolution","","2045-7758, 2045-7758","10.1002/ece3.5616","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.5616","","2019-10","2020-08-14 17:20:58","2020-08-14 17:20:58","2020-08-14 17:20:58","11122-11135","","19","9","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 modeling AM (AGF) to look at the spread of adaptive gene loci, not using genetics</p>","C:\Users\trase\Zotero\storage\4MSCRPLI\Quigley et al. - 2019 - The active spread of adaptive variation for reef r.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZDTLCBJ","journalArticle","2016","Fariñas-Franco, Jose M.; Sanderson, William G.; Roberts, Dai","Phenotypic differences may limit the potential for habitat restoration involving species translocation: a case study of shape ecophenotypes in different populations of <i>Modiolus modiolus</i> (Mollusca: Bivalvia): SHAPE ECOPHENOTYPES IN <i>M</i> . <i>MODIOLUS</i>","Aquatic Conservation: Marine and Freshwater Ecosystems","","10527613","10.1002/aqc.2496","http://doi.wiley.com/10.1002/aqc.2496","","2016-02","2020-08-14 17:19:59","2020-08-14 17:19:59","2020-08-14 17:19:59","76-94","","1","26","","Aquatic Conserv: Mar. Freshw. Ecosyst.","Phenotypic differences may limit the potential for habitat restoration involving species translocation","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 translocations based on phenotype, not genetics</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZDGBAP9M","journalArticle","2015","Purcell, Kevin M.; Stockwell, Craig A.","An evaluation of the genetic structure and post-introduction dispersal of a non-native invasive fish to the North Island of New Zealand","Biological Invasions","","1387-3547, 1573-1464","10.1007/s10530-014-0753-7","http://link.springer.com/10.1007/s10530-014-0753-7","","2015-02","2020-08-14 17:23:07","2020-08-14 17:23:07","2020-08-14 17:23:07","625-636","","2","17","","Biol Invasions","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVENGWKF","journalArticle","2014","van Oppen, M. J. H.; Puill-Stephan, E.; Lundgren, P.; De’ath, G.; Bay, L. K.","First-generation fitness consequences of interpopulational hybridisation in a Great Barrier Reef coral and its implications for assisted migration management","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-014-1145-2","http://link.springer.com/10.1007/s00338-014-1145-2","","2014-09","2020-08-14 17:22:08","2020-08-14 17:22:08","2020-08-14 17:22:08","607-611","","3","33","","Coral Reefs","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>2 used breeding experiments to look at AM in corals with differing adaptive traits</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL6BEL34","journalArticle","2011","Maschinski, Joyce; Ross, Michael S.; Liu, Hong; O’Brien, Joe; von Wettberg, Eric J.; Haskins, Kristin E.","Sinking ships: conservation options for endemic taxa threatened by sea level rise","Climatic Change","","0165-0009, 1573-1480","10.1007/s10584-011-0083-z","http://link.springer.com/10.1007/s10584-011-0083-z","","2011-07","2020-08-14 17:23:19","2020-08-14 17:23:19","2020-08-14 17:23:19","147-167","","1-2","107","","Climatic Change","Sinking ships","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 not genetic/genomic or aquatic</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I52J5LN8","journalArticle","2019","Fidelman, Pedro; McGrath, Chris; Newlands, Maxine; Dobbs, Kirstin; Jago, Belinda; Hussey, Karen","Regulatory implications of coral reef restoration and adaptation under a changing climate","Environmental Science & Policy","","14629011","10.1016/j.envsci.2019.04.016","https://linkinghub.elsevier.com/retrieve/pii/S1462901118313819","","2019-10","2020-08-14 17:26:54","2020-08-14 17:26:54","2020-08-14 17:26:54","221-229","","","100","","Environmental Science & Policy","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 SES reef restoration, not genetics/genomics or AM</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ6CR7HK","journalArticle","2017","Pandit, Shubha N.; Maitland, Bryan M.; Pandit, Laxmi K.; Poesch, Mark S.; Enders, Eva C.","Climate change risks, extinction debt, and conservation implications for a threatened freshwater fish: Carmine shiner ( Notropis percobromus )","Science of The Total Environment","","00489697","10.1016/j.scitotenv.2017.03.228","https://linkinghub.elsevier.com/retrieve/pii/S0048969717307593","","2017-11","2020-08-14 17:28:32","2020-08-14 17:28:32","2020-08-14 17:28:32","1-11","","","598","","Science of The Total Environment","Climate change risks, extinction debt, and conservation implications for a threatened freshwater fish","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 Species distribution model</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2A59Z5K","journalArticle","2019","Albright, Rebecca; Cooley, Sarah","A review of interventions proposed to abate impacts of ocean acidification on coral reefs","Regional Studies in Marine Science","","23524855","10.1016/j.rsma.2019.100612","https://linkinghub.elsevier.com/retrieve/pii/S2352485518306947","","2019-05","2020-08-14 17:28:28","2020-08-14 17:28:28","2020-08-14 17:28:28","100612","","","29","","Regional Studies in Marine Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>no genetics or AM, ocean acidification</p>","C:\Users\trase\Zotero\storage\SZBQNN4M\Albright and Cooley - 2019 - A review of interventions proposed to abate impact.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUQDK682","journalArticle","2018","Forsman, Zh; Maurin, P.; Parry, M.; Chung, A.; Sartor, C.; Hixon, Ma; Hughes, K.; Rodgers, K.; Knapp, Iss; Gulko, Da; Franklin, Ec; Del Rio Torres, L.; Chan, Nt; Wolke, Cs; Gates, Rd; Toonen, Rj","The first Hawai‘i workshop for coral restoration & nurseries","Marine Policy","","0308597X","10.1016/j.marpol.2018.08.009","https://linkinghub.elsevier.com/retrieve/pii/S0308597X18301143","","2018-10","2020-08-14 17:28:18","2020-08-14 17:28:18","2020-08-14 17:28:18","133-135","","","96","","Marine Policy","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 review of coral restoration and conservation</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIK5WZU7","journalArticle","2020","Dumeier, Arlena C.; Lorenz, Armin W.; Kiel, Ellen","Active reintroduction of benthic invertebrates to increase stream biodiversity","Limnologica","","00759511","10.1016/j.limno.2019.125726","https://linkinghub.elsevier.com/retrieve/pii/S0075951119301422","","2020-01","2020-08-14 17:28:14","2020-08-14 17:28:14","2020-08-14 17:28:14","125726","","","80","","Limnologica","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 no genetics</p>","C:\Users\trase\Zotero\storage\RV8D8QDB\Dumeier et al. - 2020 - Active reintroduction of benthic invertebrates to .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4Y9J7KI","journalArticle","2019","Schoepf, Verena; Carrion, Steven A.; Pfeifer, Svenja M.; Naugle, Melissa; Dugal, Laurence; Bruyn, Jennifer; McCulloch, Malcolm T.","Stress-resistant corals may not acclimatize to ocean warming but maintain heat tolerance under cooler temperatures","Nature Communications","","2041-1723","10.1038/s41467-019-12065-0","http://www.nature.com/articles/s41467-019-12065-0","","2019-12","2020-08-14 17:30:17","2020-08-14 17:30:17","2020-08-14 17:30:17","4031","","1","10","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 AM related to phenotype and acclimation</p>","C:\Users\trase\Zotero\storage\FP7XZXP7\Schoepf et al. - 2019 - Stress-resistant corals may not acclimatize to oce.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZAMXJS4","journalArticle","2013","Manné, S.; Poulet, N.; Dembski, S.","Colonisation of the Rhine basin by non-native gobiids: an update of the situation in France","Knowledge and Management of Aquatic Ecosystems","","1961-9502","10.1051/kmae/2013069","http://www.kmae-journal.org/10.1051/kmae/2013069","","2013","2020-08-14 17:30:39","2020-08-14 17:30:39","2020-08-14 17:30:39","02","","411","","","Knowl. Managt. Aquatic Ecosyst.","Colonisation of the Rhine basin by non-native gobiids","","","","","","","","","","","","DOI.org (Crossref)","","","<p>1 invasive species</p>","C:\Users\trase\Zotero\storage\AMTAGLP8\Manné et al. - 2013 - Colonisation of the Rhine basin by non-native gobi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9FTCNUL","journalArticle","2019","Whiterod, Nick S.; Zukowski, Sylvia","It’s not there, but it could be: a renewed case for reintroduction of a keystone species into the Lower River Murray","Transactions of the Royal Society of South Australia","","0372-1426, 2204-0293","10.1080/03721426.2019.1580920","https://www.tandfonline.com/doi/full/10.1080/03721426.2019.1580920","","2019-01-02","2020-08-14 17:31:31","2020-08-14 17:31:31","2020-08-14 17:31:31","51-66","","1","143","","Transactions of the Royal Society of South Australia","It’s not there, but it could be","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 reintroduction</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TERZSDQI","journalArticle","2016","Galloway, Benjamin T.; Muhlfeld, Clint C.; Guy, Christopher S.; Downs, Christopher C.; Fredenberg, Wade A.","A Framework for Assessing the Feasibility of Native Fish Conservation Translocations: Applications to Threatened Bull Trout","North American Journal of Fisheries Management","","0275-5947, 1548-8675","10.1080/02755947.2016.1146177","http://doi.wiley.com/10.1080/02755947.2016.1146177","","2016-07-03","2020-08-14 17:31:22","2020-08-18 03:38:39","2020-08-14 17:31:22","754-768","","4","36","","North American Journal of Fisheries Management","A Framework for Assessing the Feasibility of Native Fish Conservation Translocations","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 translocations no genetics</p> <p> </p>","C:\Users\trase\Zotero\storage\6MKVAMM6\Galloway et al. - 2016 - A Framework for Assessing the Feasibility of Nativ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3ZDDCIT","journalArticle","2014","Abeli, T.; Dalrymple, S.E.; Mondoni, A.; Orsenigo, S.; Rossi, G.","Integrating a biogeographical approach into assisted colonization activities is urgently needed","Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology","","1126-3504, 1724-5575","10.1080/11263504.2014.980362","http://www.tandfonline.com/doi/abs/10.1080/11263504.2014.980362","","2014-11-02","2020-08-14 17:31:47","2020-08-14 17:31:47","2020-08-14 17:31:47","1355-1357","","6","148","","Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1 short communication about biogeography in AM</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
