"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FIJKUSRE","journalArticle","2013","Viherä-Aarnio, Anneli; Kostiainen, Katri; Piispanen, Riikka; Saranpää, Pekka; Vapaavuori, Elina","Effects of seed transfers on yield and stem defects of silver birch (Betula pendula Roth)","Forest Ecology and Management","","03781127","10.1016/j.foreco.2012.10.030","https://linkinghub.elsevier.com/retrieve/pii/S0378112712006275","","2013-02","2020-08-14 16:46:52","2020-08-14 16:46:52","2020-08-14 16:46:52","133-142","","","289","","Forest Ecology and Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6FSDAH6","journalArticle","2012","Gylander, Tim; Hamann, Andreas; Brouard, Jean S.; Thomas, Barb R.","The Potential of Aspen Clonal Forestry in Alberta: Breeding Regions and Estimates of Genetic Gain from Selection","PLoS ONE","","1932-6203","10.1371/journal.pone.0044303","https://dx.plos.org/10.1371/journal.pone.0044303","","2012-08-30","2020-08-14 16:47:26","2020-08-14 16:47:26","2020-08-14 16:47:26","e44303","","8","7","","PLoS ONE","The Potential of Aspen Clonal Forestry in Alberta","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","C:\Users\trase\Zotero\storage\S6CRYTYC\Gylander et al. - 2012 - The Potential of Aspen Clonal Forestry in Alberta.pdf","","","","Chen, Han YH.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XR6RDUQZ","journalArticle","2012","Johnson, R.C.; Cashman, M.J.; Vance-Borland, K.","Genecology and Seed Zones for Indian Ricegrass Collected in the Southwestern United States","Rangeland Ecology & Management","","15507424","10.2111/REM-D-11-00165.1","https://linkinghub.elsevier.com/retrieve/pii/S1550742412500771","","2012-09","2020-08-14 16:47:25","2020-08-14 16:47:25","2020-08-14 16:47:25","523-532","","5","65","","Rangeland Ecology & Management","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ECERCSN","journalArticle","2013","Viveros-Viveros, Héctor; Camarillo-Luna, Alfredo R; Sáenz-Romero, Cuauhtémoc; Aparicio-Rentería, Armando","Variación altitudinal en caracteres morfológicos de Pinus patula en el estado de Oaxaca (México) y su uso en la zonificación","Bosque (Valdivia)","","0717-9200","10.4067/S0717-92002013000200006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92002013000200006&lng=en&nrm=iso&tlng=en","","2013-08","2020-08-14 16:47:21","2020-08-14 16:47:21","2020-08-14 16:47:21","11-12","","2","34","","Bosque (Valdivia)","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b?-no hablar espanol</p>","C:\Users\trase\Zotero\storage\R9I2DZZU\Viveros-Viveros et al. - 2013 - Variación altitudinal en caracteres morfológicos d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83U449IJ","journalArticle","2013","Loya-Rebollar, E.; Sáenz-Romero, C.; Lindig-Cisneros, R. A.; Lobit, P.; Villegas-Moreno, J. A.; Sánchez-Vargas, N. M.","Clinal variation in Pinus hartwegii populations and its application for adaptation to climate change","Silvae Genetica","","2509-8934","10.1515/sg-2013-0011","http://content.sciendo.com/view/journals/sg/62/1-6/article-p86.xml","Abstract                            In order to determine the genetic variation among populations of Pinus hartwegii along altitudinal gradients, and the possible adaptive decoupling due to climatic change, a common garden test was set up with 13 provenances collected along an altitudinal transect (3150 to 3750 masl; collection sites were every 50 m of altitudinal difference) from Pico de Tancítaro, Michoacán, west-central Mexico. The test evaluated trees aged 4.5 to 5.5 years, and contemporary and future (year 2030; six model-emission scenarios) climate variables were estimated. We found significant (P<0.005) differences among populations in total elongation, final seedling height, basal diameter, rate of elongation, dry weight of needles, branches and stem, total dry weight and first principal component. We found a significant association between population performance, expressed as first principal component values, and their climate, where the best climatic predictor was the frost free period (r               2               =0.90, P<0.0001). This result indicates that the patterning of genetic differentiation among populations is strongly associated with a climatic and altitudinal gradient. We propose a re-delineation of fixed climatic and altitudinal seed zoning for seed and seedling movement, based on intervals of 26 days of difference of frost free period: Zone 1, from 240 to 214 days of frost free period or 12 to 11°C or 3150 to 3350 masl; Zone 2, 214 to 188 days or 11 to 10°C or 3350 to 3550 masl; and Zone 3, 188 to 162 days or 10 to 9°C or 3550 a 3750 masl. Projecting at what altitude will occur the same frost free period values by year 2030, we suggested that populations should be shifted 400 m attitudinally upward, through a program of assisted migration, aiming to realign the populations to the climate for which they are adapted. Seedling deployment should use future (year 2030) fixed seed zones, with the same projected climatic interval values than contemporary climate, although at the following altitudinal limits: Zone 1               2030               , from 3550 to 3750 masl; Zone 2               2030               , 3750 to 3950 masl; and Zone 3               2030               , 3950 to 4150 masl.","2013-12-01","2020-08-14 16:47:17","2020-08-14 16:47:17","2020-08-14 16:47:17","86-95","","1-6","62","","","","","","","","","","","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p>","C:\Users\trase\Zotero\storage\M5T4U6H6\Loya-Rebollar et al. - 2013 - Clinal variation in Pinus hartwegii populations an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUCJZVFG","journalArticle","2012","Biernaski, Fabricio Antonio; Higa, Antonio Rioyei; Silva, Luciana Duque","Variabilidade genética para caracteres juvenis de progênies de Cedrela fissilis Vell.: subsídio para definição de zonas de coleta e uso de sementes","Revista Árvore","","0100-6762","10.1590/S0100-67622012000100006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622012000100006&lng=pt&tlng=pt","Este trabalho teve como objetivo avaliar diferenças genéticas entre três grupos de matrizes de Cedrela fissilis a partir de variáveis quantitativas juvenis em teste de progênies, para delinear zonas de coleta e uso de sementes da espécie na região de estudo, bem como avaliar a variabilidade genética do material amostrado. Instalou-se um teste de progênies, em viveiro, a partir de sementes de 48 matrizes amostradas nos Municípios de Rio Negrinho, Mafra e São Bento do Sul, no Estado de Santa Catarina; e em Lapa, Rio Negro, Campo do Tenente e Antonio Olinto, no Estado do Paraná. Das matrizes coletadas, 33 encontravam-se distribuídas em três grupos espaciais e 15 dispersas na região. O delineamento em blocos casualizados com oito repetições e 20 plantas por parcela foi empregado. Os dados avaliados incluíram: índice de velocidade de emergência, diâmetro do colo e altura das mudas (aos 61, 102 e 145 dias após a semeadura); sobrevivência, número de folhas por muda, massa seca da parte aérea e da raiz e área foliar da terceira folha totalmente expandida a contar do ápice. A metodologia de máxima verossimilhança restrita foi utilizada para a análise estatística, com o auxílio do software SELEGEN. Verificou-se que os caracteres juvenis apresentam elevado controle genético, podendo ser utilizados para avaliação da variabilidade genética de amostras de populações da espécie. Os três grupos de matrizes delimitados espacialmente não apresentam diferenças genéticas significativas, sendo possível inferir que as três áreas pertencem a uma mesma zona de coleta e uso de sementes           ,              The objective of this study was to evaluate the genetic differences among three matrix groups of Cedrela fissilis based on quantitative juvenile variables on a progeny test to define seed collecting zones and use of seeds of this species in the study region as well as to evaluate genetic variability of the sampled material. A progeny test was established in a nursery with seeds from 48 seed trees collected in the municipalities of Rio Negrinho, Mafra and São Bento do Sul, state of Santa Catarina, and in the municipalities of Lapa, Rio Negro, Campo do Tenente and Antonio Olinto, state of Paraná. Of the collected seed trees, 33 sampled trees were distributed in three sites and 15 trees were dispersed in the studied region. It was used a complete random block design, with 8 replicates and 20 plants per plot. Evaluated data included: emergency rate; seedling base diameter and height (61, 102 and 145 days after the seeds were sowed); seedling survival; number of leaves per seedling; aerial section dry mass and root dry mass; and the foliar area of the third fully expanded leaf measured from the apical meristem. The Maximum Restricted Likelihood Method (REML) was used, using the software SELEGEN for analysis. It was found that the juvenile characters are strongly genetically controlled and they can be used to estimate genetic variability of population samples of Cedrela fissilis. The three groups of trees spatially limited did not significantly differ among each other, allowing to conclude that the three areas are part of the same tree seed transfer zone.","2012-02","2020-08-14 16:48:03","2020-08-14 16:48:03","2020-08-14 16:48:03","49-58","","1","36","","Rev. Árvore","Variabilidade genética para caracteres juvenis de progênies de Cedrela fissilis Vell.","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\trase\Zotero\storage\QR8RTKAK\Biernaski et al. - 2012 - Variabilidade genética para caracteres juvenis de .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9DXSTGV","journalArticle","2012","Hawkins, Christopher D.B.; Dhar, Amalesh","Spring bud phenology of 18 <i>Betula papyrifera</i> populations in British Columbia","Scandinavian Journal of Forest Research","","0282-7581, 1651-1891","10.1080/02827581.2012.671356","http://www.tandfonline.com/doi/abs/10.1080/02827581.2012.671356","","2012-09","2020-08-14 16:48:01","2020-08-14 16:48:01","2020-08-14 16:48:01","507-519","","6","27","","Scandinavian Journal of Forest Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNZSADLZ","journalArticle","2012","Beckstead, Julie; Miller, Lauren E.; Connolly, Brian M.","Direct and indirect effects of plant litter on a seed–pathogen interaction in <i>Bromus tectorum</i> seed banks","Seed Science Research","","0960-2585, 1475-2735","10.1017/S096025851100047X","https://www.cambridge.org/core/product/identifier/S096025851100047X/type/journal_article","Abstract                            The naturally occurring fungal seed pathogen,               Pyrenophora semeniperda               , reduces the seed bank of               Bromus tectorum               but the role of plant litter in this seed–pathogen interaction is unexplored. To investigate the direct and indirect effects of litter on this interaction, we first collected field seed-bank samples from low and high               Bromus               litter patches. From these data, we explored the relationship between litter depth, seed-bank density and seed mortality from               P. semeniperda               . Second, we manipulated the fungal stages (conidial spores and mycelium) in/on the litter through sterilization techniques, to measure the direct effect of litter on seed death. Third, for indirect effects, we manipulated litter levels and held seed density and inoculum constant to determine whether               Bromus               litter could modify the seed zone microsites to favour disease. We found that seed-bank samples from high-litter patches contained higher field-killed seed densities compared with low-litter patches, although the percent difference of disease between litter patch types varied among sites and years (e.g. 80% to 46%). In testing the direct effects of litter on the seed–pathogen interaction, we found that litter can act as a direct inoculum source for the pathogen in the early summer but decreases in disease transmission by the following spring when the litter naturally is in contact with seeds. Investigating indirect effects, we found four times as many pathogen-killed seeds in high-litter treatments as compared with low-litter treatments when inoculum loads and seed densities were held constant. In addition, we found that litter influences the seed–pathogen interaction through density-dependent disease transmission. Our findings demonstrate the ecological importance of litter in semi-arid environments as it influences disease levels of a seed pathogen by direct and indirect means.","2012-06","2020-08-14 16:47:42","2020-08-14 16:47:42","2020-08-14 16:47:42","135-144","","2","22","","Seed Sci. Res.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>1</p> <p>&nbsp;</p>","C:\Users\trase\Zotero\storage\32GSKNJ8\Beckstead et al. - 2012 - Direct and indirect effects of plant litter on a s.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECZQGWAW","journalArticle","2018","Sebastian-Azcona, Jaime; Hacke, Uwe G; Hamann, Andreas","Adaptations of white spruce to climate: strong intraspecific differences in cold hardiness linked to survival","Ecology and Evolution","","20457758","10.1002/ece3.3796","http://doi.wiley.com/10.1002/ece3.3796","","2018-02","2020-08-14 17:20:49","2020-08-14 17:20:49","2020-08-14 17:20:49","1758-1768","","3","8","","Ecol Evol","Adaptations of white spruce to climate","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p> <p> </p> <p> </p>","C:\Users\trase\Zotero\storage\4TDIZ99S\Sebastian-Azcona et al. - 2018 - Adaptations of white spruce to climate strong int.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7VIH59C","journalArticle","2017","Michalski, Stefan G.; Malyshev, Andrey V.; Kreyling, Juergen","Trait variation in response to varying winter temperatures, diversity patterns and signatures of selection along the latitudinal distribution of the widespread grassland plant <i>Arrhenatherum elatius</i>","Ecology and Evolution","","20457758","10.1002/ece3.2936","http://doi.wiley.com/10.1002/ece3.2936","","2017-05","2020-08-14 17:20:41","2020-08-14 17:20:41","2020-08-14 17:20:41","3268-3280","","9","7","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3a</p>","C:\Users\trase\Zotero\storage\UU2FEQRY\Michalski et al. - 2017 - Trait variation in response to varying winter temp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
