Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
3Q25U6PR,journalArticle,2016,"Schneider, Richard R.; Devito, Kevin; Kettridge, Nicholas; Bayne, Erin",Moving beyond bioclimatic envelope models: integrating upland forest and peatland processes to predict ecosystem transitions under climate change in the western Canadian boreal plain: Western boreal ecosystem transitions under climate change,Ecohydrology,,19360584,10.1002/eco.1707,http://doi.wiley.com/10.1002/eco.1707,,2016-09,8/14/2020 17:21,8/14/2020 17:21,8/14/2020 17:21,899-908,,6,9,,Ecohydrol.,Moving beyond bioclimatic envelope models,,,,,,,en,,,,,DOI.org (Crossref),,,1,C:\Users\trase\Zotero\storage\PKKMWGEJ\Schneider et al. - 2016 - Moving beyond bioclimatic envelope models integra.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8CWSVG8,journalArticle,2018,"Axelsson, Erik Petter; Senior, John Keith",The extended consequences of genetic conductivity: Mating distance affects community phenotypes in Norway spruce,Ecology and Evolution,,20457758,10.1002/ece3.4616,http://doi.wiley.com/10.1002/ece3.4616,,2018-12,8/14/2020 17:20,8/14/2020 17:20,8/14/2020 17:20,11645-11655,,23,8,,Ecol Evol,The extended consequences of genetic conductivity,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\trase\Zotero\storage\2CQ59SMC\Axelsson and Senior - 2018 - The extended consequences of genetic conductivity.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4V8FPZ4W,journalArticle,2017,"Whittet, Richard; Cavers, Stephen; Cottrell, Joan; Rosique-Esplugas, Cristina; Ennos, Richard",Substantial variation in the timing of pollen production reduces reproductive synchrony between distant populations of <i>Pinus sylvestris</i> L. in Scotland,Ecology and Evolution,,20457758,10.1002/ece3.3154,http://doi.wiley.com/10.1002/ece3.3154,,2017-08,8/14/2020 17:20,8/14/2020 17:20,8/14/2020 17:20,5754-5765,,15,7,,Ecol Evol,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\trase\Zotero\storage\L2VLNY9Q\Whittet et al. - 2017 - Substantial variation in the timing of pollen prod.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3FV9FTW,journalArticle,2020,"Gómez‐Pineda, Erika; Sáenz‐Romero, Cuauhtémoc; Ortega‐Rodríguez, Juan Manuel; Blanco‐García, Arnulfo; Madrigal‐Sánchez, Xavier; Lindig‐Cisneros, Roberto; Lopez‐Toledo, Leonel; Pedraza‐Santos, Martha Elena; Rehfeldt, Gerald E.",Suitable climatic habitat changes for Mexican conifers along altitudinal gradients under climatic change scenarios,Ecological Applications,,"1051-0761, 1939-5582",10.1002/eap.2041,https://onlinelibrary.wiley.com/doi/abs/10.1002/eap.2041,,2020-03,8/14/2020 17:20,8/18/2020 3:38,8/14/2020 17:20,,,2,30,,Ecol Appl,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILEHHG2Z,journalArticle,2019,"Yazzie, Jaime O.; Fulé, Peter Z.; Kim, Yeon‐Su; Sánchez Meador, Andrew",Diné kinship as a framework for conserving native tree species in climate change,Ecological Applications,,"1051-0761, 1939-5582",10.1002/eap.1944,https://onlinelibrary.wiley.com/doi/abs/10.1002/eap.1944,,2019-09,8/14/2020 17:20,8/14/2020 17:20,8/14/2020 17:20,,,6,29,,Ecol Appl,,,,,,,,en,,,,,DOI.org (Crossref),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TLHK89A,journalArticle,2017,"Boiffin, Juliette; Badeau, Vincent; Bréda, Nathalie",Species distribution models may misdirect assisted migration: insights from the introduction of Douglas-fir to Europe,Ecological Applications,,10510761,10.1002/eap.1448,http://doi.wiley.com/10.1002/eap.1448,,2017-03,8/14/2020 17:20,8/14/2020 17:20,8/14/2020 17:20,446-457,,2,27,,Ecol Appl,Species distribution models may misdirect assisted migration,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\trase\Zotero\storage\IUSWB5HL\Boiffin et al. - 2017 - Species distribution models may misdirect assisted.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRHEUQQP,journalArticle,2018,"Wershow, Samuel T.; DeChaine, Eric G.",Retreat to refugia: Severe habitat contraction projected for endemic alpine plants of the Olympic Peninsula,American Journal of Botany,,29122,10.1002/ajb2.1042,http://doi.wiley.com/10.1002/ajb2.1042,,2018-04,8/14/2020 17:19,8/14/2020 17:19,8/14/2020 17:19,760-778,,4,105,,Am J Bot,Retreat to refugia,,,,,,,en,,,,,DOI.org (Crossref),,,1,C:\Users\trase\Zotero\storage\8AVXF9LM\Wershow and DeChaine - 2018 - Retreat to refugia Severe habitat contraction pro.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7LQ7G4F2,journalArticle,2016,"Ramírez-Amezcua, Yocupitzia; Steinmann, Victor W.; Ruiz-Sanchez, Eduardo; Rojas-Soto, Octavio R.",Mexican alpine plants in the face of global warming: potential extinction within a specialized assemblage of narrow endemics,Biodiversity and Conservation,,"0960-3115, 1572-9710",10.1007/s10531-016-1094-x,http://link.springer.com/10.1007/s10531-016-1094-x,,2016-05,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,865-885,,5,25,,Biodivers Conserv,Mexican alpine plants in the face of global warming,,,,,,,en,,,,,DOI.org (Crossref),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6JYCV2J,journalArticle,2019,"Frischbier, Nico; Nikolova, Petia Simeonova; Brang, Peter; Klumpp, Raphael; Aas, Gregor; Binder, Franz",Climate change adaptation with non-native tree species in Central European forests: early tree survival in a multi-site field trial,European Journal of Forest Research,,"1612-4669, 1612-4677",10.1007/s10342-019-01222-1,http://link.springer.com/10.1007/s10342-019-01222-1,,2019-12,8/14/2020 17:23,8/18/2020 3:38,8/14/2020 17:23,1015-1032,,6,138,,Eur J Forest Res,Climate change adaptation with non-native tree species in Central European forests,,,,,,,en,,,,,DOI.org (Crossref),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5BNZ3L3Z,journalArticle,2018,"Benito-Garzón, Marta; Fady, Bruno; Davi, Hendrik; Vizcaíno-Palomar, Natalia; Fernández-Manjarrés, Juan",Trees on the move: using decision theory to compensate for climate change at the regional scale in forest social-ecological systems,Regional Environmental Change,,"1436-3798, 1436-378X",10.1007/s10113-018-1277-y,http://link.springer.com/10.1007/s10113-018-1277-y,,2018-06,8/14/2020 17:22,8/14/2020 17:22,8/14/2020 17:22,1427-1437,,5,18,,Reg Environ Change,Trees on the move,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
