"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F7KA6X3Y","journalArticle","2020","Pike, Carolyn; Potter, Kevin M; Berrang, Paul; Crane, Barbara; Baggs, Joanne; Leites, Laura; Luther, Tom","New Seed-Collection Zones for the Eastern United States: The Eastern Seed Zone Forum","Journal of Forestry","","0022-1201, 1938-3746","10.1093/jofore/fvaa013","https://academic.oup.com/jof/article/118/4/444/5811314","Abstract             Abstract             Reforestation and restoration efforts have traditionally relied on “local” seed sources as planting stock. The term “local” has different meanings in different locales, since no single set of seed-collection zones has yet been widely adopted across the eastern United States. Given concerns about mitigating the effects of climate change, forest managers are increasingly seeking to move seed sources in a process called assisted migration, which would be facilitated if a common set of seed-collection zones were available. We developed a map of 245 seed-collection zones for 37 states by combining two ecologically important layers: plant hardiness zones and ecoregions. These new seed-collection zones should be used by seed collectors and nurseries to describe the origin of seed for plants and trees in the eastern United States. Common garden studies remain the gold standard for determining how far to move seed from any particular seed-collection zone. For species that have not been field-tested, seed movement that is limited either within a seed-collection zone or between adjacent seed-collection zones is a reasonable general guideline.","2020-07-01","2020-08-14 16:30:16","2020-08-14 16:30:16","2020-08-14 16:30:16","444-451","","4","118","","","New Seed-Collection Zones for the Eastern United States","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p>","/Users/Luke/Zotero/storage/5YT6P383/Pike et al. - 2020 - New Seed-Collection Zones for the Eastern United S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2LYDKUT","journalArticle","2020","Massatti, Rob; Shriver, Robert K.; Winkler, Daniel E.; Richardson, Bryce A.; Bradford, John B.","Assessment of population genetics and climatic variability can refine climate‐informed seed transfer guidelines","Restoration Ecology","","1061-2971, 1526-100X","10.1111/rec.13142","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13142","","2020-05","2020-08-14 16:30:49","2020-08-14 16:30:49","2020-08-14 16:30:49","485-493","","3","28","","Restor Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5 - lit search</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8C8RVJ9G","journalArticle","2020","Etterson, Julie R.; Cornett, Meredith W.; White, Mark A.; Kavajecz, Laura C.","Assisted migration across fixed seed zones detects adaptation lags in two major North American tree species","Ecological Applications","","1051-0761, 1939-5582","10.1002/eap.2092","https://onlinelibrary.wiley.com/doi/abs/10.1002/eap.2092","","2020-07","2020-08-14 16:30:50","2020-08-14 16:30:50","2020-08-14 16:30:50","","","5","30","","Ecol Appl","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","/Users/Luke/Zotero/storage/H6IGBVUP/Etterson et al. - 2020 - Assisted migration across fixed seed zones detects.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3R32DUU","journalArticle","2020","Yoko, Zebadiah G; Volk, Kate L; Dochtermann, Ned A; Hamilton, Jill A","The importance of quantitative trait differentiation in restoration: landscape heterogeneity and functional traits inform seed transfer guidelines","AoB PLANTS","","2041-2851","10.1093/aobpla/plaa009","https://academic.oup.com/aobpla/article/doi/10.1093/aobpla/plaa009/5792783","Abstract             For widely distributed species, understanding the scale over which genetic variation correlates to landscape structure and composition is critical. Particularly within the context of restoration, the evolution of genetic differences may impact success if seeds are maladapted to the restoration environment. In this study, we used Geum triflorum to quantify the scale over which genetic differences for quantitative traits important to adaptation have evolved, comparing the proportion of variance attributed to broad regional- and local population-level effects. Geum triflorum is a widely distributed species spanning a range of environments, including alvar and prairie habitats, which have extreme regional differences in soil-moisture availability. Alvar habitats are regions of thin soil over limestone that experience substantial seasonal variation in water availability, from flooding to desiccation annually. This contrasts with prairie habitats, whose deeper soils mitigate irregular flood–desiccation cycles. Using a common garden experiment, we evaluated 15 traits broadly grouped into three trait classes: resource allocation, stomatal characteristics, and leaf morphological traits for individuals sourced from prairie and alvar environments. We quantified the proportion of trait variance explained by regional- and population-scale effects and compared the proportion of regional- and population-trait variances explained across trait classes. Significant regional differentiation was observed for the majority of quantitative traits; however, population-scale effects were equal or greater than regional effects, suggesting that important genetic differences may have evolved across the finer population scale. Stomatal and resource allocation trait classes exhibited substantial regional differentiation relative to morphological traits, which may indicate increased strength of selection for stomatal and resource allocation traits relative to morphological traits. These patterns point towards the value in considering the scale over which genetic differences may have evolved for widely distributed species and identify different functional trait classes that may be valuable in establishing seed transfer guidelines.","2020-04-01","2020-08-14 16:30:53","2020-08-14 16:30:53","2020-08-14 16:30:53","plaa009","","2","12","","","The importance of quantitative trait differentiation in restoration","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","/Users/Luke/Zotero/storage/63PXLFNG/Yoko et al. - 2020 - The importance of quantitative trait differentiati.pdf","","","","Picó, Xavier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ASV465I","journalArticle","2020","Nelson, C. Dana; Crocker, Ellen V.; DeWald, Laura; Raley, Earl M.; Adams, Joshua P.; Crane, Barbara S.; Peter, Gary F.; Casola, Claudio; Davis, John M.; Merkle, Scott A.","Report on the Thirty-Fifth Southern Forest Tree Improvement Conference (SFTIC 2019)","Tree Genetics & Genomes","","1614-2942, 1614-2950","10.1007/s11295-020-1423-9","http://link.springer.com/10.1007/s11295-020-1423-9","","2020-04","2020-08-14 16:31:00","2020-08-14 16:31:00","2020-08-14 16:31:00","31","","2","16","","Tree Genetics & Genomes","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>5</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NGZ97A2","journalArticle","2020","Aguirre‐Morales, Carolina Adriana; Thomas, Evert; Cardozo, Carlos Ivan; Gutiérrez, Janeth; Alcázar Caicedo, Carolina; Moscoso Higuita, Luis Gonzalo; Becerra López‐Lavalle, Luis Augusto; González, Mailyn Adriana","Genetic diversity of the rain tree ( <i>Albizia saman</i> ) in Colombian seasonally dry tropical forest for informing conservation and restoration interventions","Ecology and Evolution","","2045-7758, 2045-7758","10.1002/ece3.6005","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.6005","","2020-02","2020-08-14 16:31:01","2020-08-14 16:31:01","2020-08-14 16:31:01","1905-1916","","4","10","","Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3a - genetic - no trait - no association</p> <p> </p>","/Users/Luke/Zotero/storage/ZMLQUC5B/Aguirre‐Morales et al. - 2020 - Genetic diversity of the rain tree ( Albizia sa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49RVZH4X","journalArticle","2019","Flores, Andrés; López-Upton, Javier; Rullán-Silva, Cristobal D.; Olthoff, Adriana E.; Alía, Ricardo; Sáenz-Romero, Cuauhtémoc; Garcia del Barrio, José M.","Priorities for Conservation and Sustainable Use of Forest Genetic Resources in Four Mexican Pines","Forests","","1999-4907","10.3390/f10080675","https://www.mdpi.com/1999-4907/10/8/675","The strategies for the conservation and sustainable use of forest genetic resources, which are essential for the future adaptation of forest species to changing environments, are also a source of valuable genetic resources for breeding and restoration activities. The first step to define and implement cost-effective strategies is to identify specific priority populations. Mexico, in spite of being characterized by high levels of tree species diversity, mostly lacks a combined strategy for the genetic conservation and use of forest genetic resources. The aims of this work are: (i) to identify areas for gene conservation, and (ii) to propose measures for the conservation and sustainable use of forest genetic resources of four pine species: Pinus greggii Engelm. ex Parl., Pinus oocarpa Schiede ex Schltdl., Pinus patula Schiede ex Schltdl. & Cham. and Pinus pseudostrobus Lindl. To do that, we use the existing information on the distribution, genetic variation and conservation and breeding efforts in Mexico. Overall, 51 areas for establishing genetic conservation units were prioritized and 6 genetic zones for the use of forest genetic resources in breeding and selection of forest reproductive material were identified. The current conservation efforts for the four priority Mexican pines should be improved to satisfy the needs of a national breeding and conservation network.","2019-08-09","2020-08-14 16:32:00","2020-08-14 16:32:00","2020-08-14 16:32:00","675","","8","10","","Forests","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3? - AM and genetic BUT  genetic data from previous study.</p>","/Users/Luke/Zotero/storage/WUB4EF9A/Flores et al. - 2019 - Priorities for Conservation and Sustainable Use of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQG9TYHH","journalArticle","2019","Butnor, John R.; Verrico, Brittany M.; Johnsen, Kurt H.; Maier, Christopher A.; Vankus, Victor; Keller, Stephen R.","Phenotypic Variation in Climate-Associated Traits of Red Spruce (Picea rubens Sarg.) along Elevation Gradients in the Southern Appalachian Mountains","Castanea","","0008-7475","10.2179/0008-7475.84.2.128","https://bioone.org/journals/castanea/volume-84/issue-2/0008-7475.84.2.128/Phenotypic-Variation-in-Climate-Associated-Traits-of-Red-Spruce-Picea/10.2179/0008-7475.84.2.128.full","","2019-12-13","2020-08-14 16:32:26","2020-08-14 16:32:26","2020-08-14 16:32:26","128","","2","84","","Castanea","","","","","","","","","","","","","DOI.org (Crossref)","","","<p>3b</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDW4JM98","journalArticle","2019","Berlin, Mats; Jansson, Gunnar; Högberg, Karl-Anders; Helmersson, Andreas","Analysis of non-additive genetic effects in Norway spruce","Tree Genetics & Genomes","","1614-2942, 1614-2950","10.1007/s11295-019-1350-9","http://link.springer.com/10.1007/s11295-019-1350-9","","2019-06","2020-08-14 16:32:27","2020-08-14 16:32:27","2020-08-14 16:32:27","42","","3","15","","Tree Genetics & Genomes","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>?</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6UWST5G","journalArticle","2019","Germino, Matthew J.; Moser, Ann M.; Sands, Alan R.","Adaptive variation, including local adaptation, requires decades to become evident in common gardens","Ecological Applications","","1051-0761, 1939-5582","10.1002/eap.1842","https://onlinelibrary.wiley.com/doi/abs/10.1002/eap.1842","","2019-03","2020-08-14 16:32:28","2020-08-14 16:32:28","2020-08-14 16:32:28","","","2","29","","Ecol Appl","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>3b</p>","/Users/Luke/Zotero/storage/YP2EHV39/Germino et al. - 2019 - Adaptive variation, including local adaptation, re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
