�..Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body,Cat,Score
STRZM4GH,journalArticle,2007,"Jones, Menna E.; Jarman, Peter J.; Lees, Caroline M.; Hesterman, Heather; Hamede, Rodrigo K.; Mooney, Nick J.; Mann, Dydee; Pukk, Chrissy E.; Bergfeld, Jemma; McCallum, Hamish","Conservation Management of Tasmanian Devils in the Context of an Emerging, Extinction-threatening Disease: Devil Facial Tumor Disease",EcoHealth,,"1612-9202, 1612-9210",10.1007/s10393-007-0120-6,http://link.springer.com/10.1007/s10393-007-0120-6,,10/3/2007,8/14/2020 17:23,8/18/2020 3:38,8/14/2020 17:23,326-337,NA,3,4,NA,EcoHealth,"Conservation Management of Tasmanian Devils in the Context of an Emerging, Extinction-threatening Disease",NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,<p>2 considering AM for disease management but not climate change</p>,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
IGGZIR6I,journalArticle,2015,"Michaelides, Sozos; Cole, Nik; Funk, Stephan M.",Translocation retains genetic diversity of a threatened endemic reptile in Mauritius,Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-014-0691-z,http://link.springer.com/10.1007/s10592-014-0691-z,,2015-06,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,661-672,NA,3,16,NA,Conserv Genet,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - translocation with genetics, but not CC focused TS</p>",,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
JUXGZXCV,journalArticle,2013,"Woolaver, Lance G.; Nichols, Rina K.; Morton, Eugene S.; Stutchbury, Bridget J. M.","Population genetics and relatedness in a critically endangered island raptor, Ridgway’s Hawk Buteo ridgwayi",Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-013-0444-4,http://link.springer.com/10.1007/s10592-013-0444-4,,2013-06,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,559-571,NA,3,14,NA,Conserv Genet,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - give rec. in discussion plan from microsat work, no climate change link TS</p>",,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
PG74AUNG,journalArticle,2019,"Mathur, Samarth; Tomeček, John M.; Heniff, Ashlyn; Luna, Ryan; DeWoody, J. Andrew",Evidence of genetic erosion in a peripheral population of a North American game bird: the Montezuma quail (Cyrtonyx montezumae),Conservation Genetics,,"1566-0621, 1572-9737",10.1007/s10592-019-01218-9,http://link.springer.com/10.1007/s10592-019-01218-9,,2019-12,8/14/2020 17:23,8/14/2020 17:23,8/14/2020 17:23,1369-1381,NA,6,20,NA,Conserv Genet,Evidence of genetic erosion in a peripheral population of a North American game bird,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - genomics but no real climate change discussion, rec against translocation TS</p>",,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
UIS9TZEX,journalArticle,2018,"Robinson, Jacqueline A.; Brown, Caitlin; Kim, Bernard Y.; Lohmueller, Kirk E.; Wayne, Robert K.",Purging of Strongly Deleterious Mutations Explains Long-Term Persistence and Absence of Inbreeding Depression in Island Foxes,Current Biology,,9609822,10.1016/j.cub.2018.08.066,https://linkinghub.elsevier.com/retrieve/pii/S0960982218311941,,2018-11,8/14/2020 17:26,8/14/2020 17:26,8/14/2020 17:26,3487-3494.e4,NA,21,28,NA,Current Biology,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - take home from models is that AGW may be bad, had genomic data, not climate focused ts</p>",C:\Users\trase\Zotero\storage\BC8KS8CM\Robinson et al. - 2018 - Purging of Strongly Deleterious Mutations Explains.pdf,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
4B2W4GGR,journalArticle,2020,"Skikne, Sarah A.; Borker, Abraham L.; Terrill, Ryan S.; Zavaleta, Erika",Predictors of past avian translocation outcomes inform feasibility of future efforts under climate change,Biological Conservation,,63207,10.1016/j.biocon.2020.108597,https://linkinghub.elsevier.com/retrieve/pii/S0006320719317707,,2020-07,8/14/2020 17:26,8/14/2020 17:26,8/14/2020 17:26,108597,NA,,247,NA,Biological Conservation,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - translocation study, but didn't do the genetics on their own... compared to existing phylogenetics for their models so may not be relevant. would like second opinion ts</p>",C:\Users\trase\Zotero\storage\BT5AC73Z\Skikne et al. - 2020 - Predictors of past avian translocation outcomes in.pdf,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
AEFPYH22,journalArticle,2019,"Saremi, Nedda F.; Supple, Megan A.; Byrne, Ashley; Cahill, James A.; Coutinho, Luiz Lehmann; Dalén, Love; Figueiró, Henrique V.; Johnson, Warren E.; Milne, Heather J.; O’Brien, Stephen J.; O’Connell, Brendan; Onorato, David P.; Riley, Seth P. D.; Sikich, Jeff A.; Stahler, Daniel R.; Villela, Priscilla Marqui Schmidt; Vollmers, Christopher; Wayne, Robert K.; Eizirik, Eduardo; Corbett-Detig, Russell B.; Green, Richard E.; Wilmers, Christopher C.; Shapiro, Beth",Puma genomes from North and South America provide insights into the genomic consequences of inbreeding,Nature Communications,,2041-1723,10.1038/s41467-019-12741-1,http://www.nature.com/articles/s41467-019-12741-1,,2019-12,8/14/2020 17:30,8/14/2020 17:30,8/14/2020 17:30,4769,NA,1,10,NA,Nat Commun,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - AM not done, but authors created models to predict translocation... take home is that multiple AM events likely needed TS</p>",C:\Users\trase\Zotero\storage\VKJP9BGV\Saremi et al. - 2019 - Puma genomes from North and South America provide .pdf,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
GCJCT4LD,journalArticle,2020,"McLennan, E. A.; Grueber, C. E.; Wise, P.; Belov, K.; Hogg, C. J.",Mixing genetically differentiated populations successfully boosts diversity of an endangered carnivore,Animal Conservation,,"1367-9430, 1469-1795",10.1111/acv.12589,https://onlinelibrary.wiley.com/doi/abs/10.1111/acv.12589,,4/17/2020,8/14/2020 17:39,8/14/2020 17:39,8/14/2020 17:39,acv.12589,NA,,,NA,Anim Conserv,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,<p>2 - ts</p>,C:\Users\trase\Zotero\storage\799FBPZ3\McLennan et al. - 2020 - Mixing genetically differentiated populations succ.pdf,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
K3TCGG88,journalArticle,2015,"Purwandana, Deni; Ariefiandy, Achmad; Imansyah, M. Jeri; Ciofi, Claudio; Forsyth, David M.; Gormley, Andrew M.; Rudiharto, Heru; Seno, Aganto; Fordham, Damien A.; Gillespie, Graeme; Jessop, Tim S.","Evaluating environmental, demographic and genetic effects on population-level survival in an island endemic",Ecography,,9067590,10.1111/ecog.01300,http://doi.wiley.com/10.1111/ecog.01300,,2015-10,8/14/2020 17:41,8/14/2020 17:41,8/14/2020 17:41,1060-1070,NA,10,38,NA,Ecography,,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,"<p>2 - komodo dragon modeling, very limited link to climate change, mostly addressing loss of diversity and inbreeding, used usats</p>","C:\Users\trase\Zotero\storage\KYYB8F5D\Purwandana et al. - 2015 - Evaluating environmental, demographic and genetic .pdf",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
EPUVBEB6,journalArticle,2014,"Buckland, Steeves; Cole, Nik C.; Groombridge, Jim J.; Küpper, Clemens; Burke, Terry; Dawson, Deborah A.; Gallagher, Laura E.; Harris, Stephen",High Risks of Losing Genetic Diversity in an Endemic Mauritian Gecko: Implications for Conservation,PLoS ONE,,1932-6203,10.1371/journal.pone.0093387,https://dx.plos.org/10.1371/journal.pone.0093387,,6/25/2014,8/14/2020 17:57,8/18/2020 3:38,8/14/2020 17:57,e93387,NA,6,9,NA,PLoS ONE,High Risks of Losing Genetic Diversity in an Endemic Mauritian Gecko,NA,NA,NA,NA,,,en,,NA,NA,NA,DOI.org (Crossref),,,<p>2 - has genetics and discusses assisted migration but it is due to fragmentation and not climate change adaptation</p>,C:\Users\trase\Zotero\storage\8PC39R2B\Buckland et al. - 2014 - High Risks of Losing Genetic Diversity in an Endem.pdf,NA,NA,,"Pinto, João",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animals,2
